N_Oficial;Nombre_estacion;Institucion;latitude;longitude;Tipo_estacion;Parametros_medidos;Resolucion_temporal
17;El Sauce;MARN;13.6496;-87.7898;HIDRO;PHQ;5 min y 15 min
2;El Zapotillo;MARN;14.1753;-89.413;HIDRO;PHQ;5 min y 15 min
270;ENA-San Andres;MARN;13.8064;-89.4037;MET;PT;10 min
64;Guacotecti;MARN;13.8713;-88.6448;MET;PT;10 min
80;Guadalupe;MARN;13.607;-88.8599;PLUVIO;P;5 min
21;Hachadura;MARN;13.8607;-90.0878;HIDRO;PHQ;5 min y 15 min
120;Hacienda Melara;MARN;13.4799;-89.2211;MET;PT;10 min
67;Huizucar;MARN;13.6093;-89.2345;PLUVIO;P;5 min
78;Ilobasco;MARN;13.8151;-88.8617;PLUVIO;P;5 min
4;Ilopango;MARN;13.6983;-89.1183;MET;PT;10 min
54;Ishuatan;MARN;13.643;-89.558;MET;PT;10 min
111;Izalco;MARN;13.7569;-89.703;PLUVIO;P;5 min
263;Jalponga;MARN;13.5012;-88.9463;HIDRO;PHQ;5 min y 15 min
50;Jerusalem;MARN;13.653;-88.9001;PLUVIO;P;5 min
121;Jucuaran;MARN;13.1956;-88.2907;MET;PT;10 min
267;La Bermeja;MARN;13.6905;-89.2097;HIDRO;PHQ;5 min y 15 min
92;La Canoa;MARN;13.3282;-88.1655;HIDRO;PHQ;5 min y 15 min
94;La Cañada;MARN;13.3098;-87.8894;MET;PT;10 min
63;La Cima;MARN;13.6588;-89.215;PLUVIO;P;5 min
118;La Palma;MARN;14.278;-89.159;MET;PT;10 min
31;La Union;MARN;13.3333;-87.8236;MET;PT;10 min
89;Laquesera;MARN;13.5821;-88.6483;HIDRO;PHQ;5 min y 15 min
11;Las Flores;MARN;14.0434;-88.809;HIDRO;PHQ;5 min y 15 min
40;Las Pilas;MARN;14.371;-89.096;MET;PT;10 min
58;Los Naranjos;MARN;13.8763;-89.6743;PLUVIO;P;5 min
86;Melara;MARN;13.4874;-89.2067;HIDRO;PHQ;5 min y 15 min
49;Metapan;MARN;14.3595;-89.5449;PLUVIO;P;5 min
257;Metayate;MARN;14.1421;-89.2131;HIDRO;PHQ;5 min y 15 min
59;Montecristo;MARN;14.3625;-89.3996;HIDRO;PHQ;5 min y 15 min
66;Moropala;MARN;13.2839;-88.3192;HIDRO;PHQ;5 min y 15 min
112;Nueva Esparta;MARN;13.787;-87.8354;PLUVIO;P;5 min
252;Nuevo Cuscatlan;MARN;13.621;-89.264;PLUVIO;P;5 min
9;Osicala;MARN;13.8332;-88.15;HIDRO;PHQ;5 min
75;Panchimalco;MARN;13.6089;-89.1812;PLUVIO;P;5 min
91;Pasaquina;MARN;13.5645;-87.78;HIDRO;PHQ;5 min y 15 min
143;Paso del Oso;MARN;14.091;-89.416;HIDRO;PHQ;5 min y 15 min
96;Perquin;MARN;13.9611;-88.1584;MET;PT;10 min
62;Picacho;MARN;13.7454;-89.2561;PLUVIO;P;5 min
36;PROCAFÉ;MARN;13.6843;-89.2866;MET;PT;10 min
271;Providencia1;MARN;13.474;-89.096;MET;PT;10 min
117;Pte Cuscatlan;MARN;13.599;-88.603;MET;PT;10 min
18;Puente Viejo;MARN;13.5179;-88.9882;HIDRO;PHQ;5 min y 15 min
65;Puerto Parada;MARN;13.2507;-88.4392;MET;PT;10 min
125;San Francisco;MARN;13.695;-88.108;HIDRO;PHQ;5 min y 15 min
88;San Isidro;MARN;13.7902;-88.6984;HIDRO;PHQ;5 min y 15 min
258;San Lorenzo;MARN;14.0343;-89.7771;HIDRO;PHQ;5 min y 15 min
10;San Marcos Lempa;MARN;13.4235;-88.6969;HIDRO;PHQ;5 min y 15 min
32;San Miguel;MARN;13.4389;-88.1591;MET;PT;10 min
253;San Simon;MARN;13.5745;-88.5461;HIDRO;PHQ;5 min y 15 min
39;San Vicente;MARN;13.5958;-88.839;MET;PT;10 min
90;San Vicente;MARN;13.6492;-88.7726;HIDRO;PHQ;5 min y 15 min
33;Santa Ana;MARN;13.9825;-89.5488;MET;PT;10 min
47;Santa Beatriz;MARN;13.5923;-89.7364;PLUVIO;P;5 min
95;Santa Cruz Porrillo;MARN;13.4394;-88.8012;MET;PT;10 min
107;Santiago de María;MARN;13.4796;-88.4715;PLUVIO;P;5 min
25;Santiago Nonualco;MARN;13.4307;-88.9784;PLUVIO;P;5 min
108;Sensunapan;MARN;13.6602;-89.7639;HIDRO;PHQ;5 min y 15 min
115;Sesori;MARN;13.7238;-88.367;PLUVIO;P;5 min
132;SF Dos Cerros;MARN;14.034;-89.2756;HIDRO;PHQ;5 min y 15 min
12;Tamarindo;MARN;14.0469;-89.2525;HIDRO;PHQ;5 min y 15 min
43;Tecoluca;MARN;13.5334;-88.7813;PLUVIO;P;5 min
122;Tepetitan;MARN;13.6256;-88.8428;MET;PT;10 min
51;Tepezontes;MARN;13.6199;-89.0103;PLUVIO;P;5 min
61;UES;MARN;13.7185;-89.2027;MET;PT;10 min
44;Vado Marin;MARN;13.3015;-88.2899;PLUVIO;P;5 min
81;Verapaz;MARN;13.6573;-88.8606;PLUVIO;P;5 min
48;Volcan San Miguel;MARN;13.4425;-88.2378;PLUVIO;P;5 min
133;Volcan San Miguel 2;MARN;13.4412;-88.2723;MET;PT;10 min
134;VSM_La Piedra 1;MARN;13.4352;-88.2997;MET;PT;10 min
26;Zacatecoluca;MARN;13.5082;-88.8578;PLUVIO;P;5 min
114;Zaragoza;MARN;13.5763;-89.2895;PLUVIO;P;5 min
264;Zoologico;MARN;13.6836;-89.1948;HIDRO;PHQ;5 min y 15 min
