Location Names,GUIJA,FINCA LOS ANDES,CANDELARIA DE LA FRONTERA,PLANES DE MONTECRISTO,SANTA ANA-UNICAES,LAS PILAS,NUEVA CONCEPCION,LA PALMA,SAN ANDRES
Location Ids,A15,A18,A27,A31,A37,G13,G3,G4,L4
Time,ETo,ETo,ETo,ETo,ETo,ETo,ETo,ETo,ETo
2012-01-01 07:00:00,4.9329385253198,2.58555931761028,3.77396043325714,2.65436826726217,4.74793238224916,1.9545091200143,4.70433017916108,3.14430757508767,4.26576700246429
2012-01-02 07:00:00,4.49501664923159,2.40956011147002,3.64477953151372,2.34662745343623,4.2200982978883,2.09142081606781,4.3043611942433,2.80303375625947,4.01680162821857
2012-01-03 07:00:00,3.64487187985714,2.32461119800542,3.46254289532929,1.96921932789161,3.7038400949769,1.88329631153964,2.93866219427951,2.63473541124905,2.99629834550008
2012-01-04 07:00:00,3.58246416094226,2.27274036797784,3.30449379939982,2.20653468042066,3.71921585845312,1.74045415959204,3.09496636989903,2.30238599359533,3.55628698263553
2012-01-05 07:00:00,4.31703787744184,2.29067344653247,3.25140426767376,2.87749095554724,-999,2.79087054584914,4.02007784587364,2.629559674682,3.63832086284271
2012-01-06 07:00:00,4.89040087416526,3.0438565493927,3.92911669076204,3.42025335475813,4.36431023030077,3.03568847601678,4.57343240420069,3.58815340241093,4.05570573643257
2012-01-07 07:00:00,5.36969534326786,3.19834420582047,4.8455583961559,3.34538113129978,4.48742132929642,3.29318635089822,4.74142389272432,4.27361608497189,4.44586459717126
2012-01-08 07:00:00,5.13582237171429,3.11059048026122,4.57601447615635,3.65120606589668,5.23982450205031,2.92684182381154,4.82301336818516,4.20619862121633,4.38759337759573
2012-01-09 07:00:00,4.99548154488932,2.575870447035,4.6675940466398,3.24828544872339,4.97683047531324,2.77497129614861,4.27868667654454,4.0595923654569,4.09614208578532
2012-01-10 07:00:00,5.0065506761317,3.08436009668274,4.50612254873238,3.1225182622782,5.11059570537264,3.29126181571525,4.40600889879784,4.11554054708784,4.20538059695786
2012-01-11 07:00:00,5.32875388921761,2.74995200423161,4.45835164483863,3.30594817141793,5.00349103296403,2.68877741142857,4.59869397363476,3.74873289459959,4.22526450028054
2012-01-12 07:00:00,5.0693960225624,2.72720745372142,4.66500809880341,3.11595862550748,5.04442744647539,3.05479581565154,4.42037817663499,4.16249240287723,3.99063326087364
2012-01-13 07:00:00,4.65999645532716,2.56590025953843,4.05200715620178,2.75950320788577,4.64330793588839,2.50311554649682,4.15507641974091,3.25749059730637,3.78277545962636
2012-01-14 07:00:00,5.20309071630593,2.41700161891743,3.71042574582857,2.77746492974515,4.38503322035522,2.41614305789451,4.61763612193921,3.50921780291888,4.207936853312
2012-01-15 07:00:00,5.08426092876784,2.60570427898093,3.88970942029698,2.5770610311806,4.51820967695274,2.38620324305071,4.56477856559833,3.18430567281109,4.30923935168424
2012-01-16 07:00:00,4.7768876006767,2.76853278419032,3.87546630572314,2.58506574531785,4.56394721478295,2.48350764129305,4.72556870987028,3.27559681860844,4.18533759737215
2012-01-17 07:00:00,5.11760489014386,2.84246934656271,4.1942102056304,3.02430216588398,4.53607067425777,2.89155741363901,4.69769638643772,3.69267847274804,4.19302768071731
2012-01-18 07:00:00,5.16774632989703,2.58247851256257,4.12033379289619,3.06295889347395,4.8762780803402,2.86805799516184,4.6958095932185,3.71366974431356,4.23580557842197
2012-01-19 07:00:00,5.3330723035325,3.15788539878774,4.06123266270882,3.29914365689883,4.85612151399107,2.56900687478579,4.98924716995606,3.68102454134854,4.34112694542006
2012-01-20 07:00:00,5.209143637102,3.34103607045696,4.36012782307601,3.76080493710848,4.94264210749598,3.24137410497471,4.91605300480539,4.1907533109386,4.39087441668998
2012-01-21 07:00:00,5.23256584838083,3.00905561082432,4.72905671884539,3.26896238774815,5.19396884659929,3.19657423148951,4.49163413189463,4.26185043875609,4.31215837884571
2012-01-22 07:00:00,4.9959527595472,2.68400396798437,4.80291233937754,2.91367576361712,4.85757627963953,2.91301422795065,4.33149870487855,3.16535433140317,3.98641806940915
2012-01-23 07:00:00,4.5756401683895,3.12773474190342,4.36047217252054,2.70043503659171,4.80879901373737,2.93686793109469,4.30248017849482,3.88444827016563,3.97990400485501
2012-01-24 07:00:00,4.65365594128665,2.72720745372142,3.93338603813953,2.85585662759886,4.57544341477042,3.02125822043579,4.05185739200453,3.44895442519022,3.68073294207025
2012-01-25 07:00:00,5.08538518725625,2.96529389455288,4.62263768693222,2.8505334902615,4.51015175900526,2.64456654243128,4.31774741163129,3.90881374388387,3.72935225002235
2012-01-26 07:00:00,5.29702694727188,3.07583418849166,4.79837671751757,3.30016542350917,4.92491635969282,2.9201060655504,4.605418278379,4.35295372149053,4.14869126093689
2012-01-27 07:00:00,4.59570990739287,2.76212127492494,4.02198229433855,2.23272781994878,4.715325611802,2.91802072126841,4.22322756494399,2.97484359722952,3.74183025182407
2012-01-28 07:00:00,5.26967284506275,3.21066976729183,4.41265589885516,3.32429077596323,5.19089061119432,2.77458325025433,4.94015308844214,3.75247686166635,4.30108798953701
2012-01-29 07:00:00,4.36638511259597,2.56991261101064,3.53301719043349,2.27129095598309,4.36598368498683,1.47172225458447,4.23082986403883,2.80086733316086,3.80703350313812
2012-01-30 07:00:00,4.53938458904621,2.9600777277454,3.73307281300659,2.50089546404365,4.65822521157024,1.9541966647004,4.51929337381266,3.13218213519904,4.07050960847873
