Location Names,Guija,Finca Los Andes,Candelaria de la Frontera,Planes de Montecristo,Santa Ana,Chorrera del Guayabo,Sensuntepeque,Cerron Grande,Cojutepeque,Nueva Concepcion,La Palma,Las Pilas,Ahuachapan,La Hachadura,San Andres,Chiltuipan,San Miguel,La Union,Aeropuerto Ilopango,Acajutla,Los Naranjos,Santiago de Maria,San Francisco Gotera,Perquin
Location Ids,A15,A18,A27,A31,A37,B1,B6,B10,C9,G3,G4,G13,H8,H14,L4,L27,M24,N2,S10,T6,T24,U6,Z2,Z3
Time,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax,TempMax
2022-03-03 07:00:00,37.3,21.6,31.6,20.0,32.8,38.4,36.0,38.9,34.1,36.6,27.9,20.0,31.0,38.6,35.0,33.8,40.0,36.4,33.2,34.2,38.9,30.8,38.0,28.5
