ID,NAME,SOURCE,LATITUDE,LONGITUDE,GAUGE_TYPE,PARAMETER,TEMPORAL_RESOLUTION_P,TEMPORAL_RESOLUTION_H,TEMPORAL_RESOLUTION_T,CALIBRATION,OPERATIONAL
112,Nueva Esparta,MARN,13.7870,-87.8354,PLUVIO,P,5 min,,,no,yes
114,Zaragoza,MARN,13.5763,-89.2895,PLUVIO,P,5 min,,,no,yes
115,Sesori,MARN,13.7238,-88.3670,PLUVIO,P,5 min,,,no,yes
116,El Imposible,MARN,13.8270,-89.9470,MET,PT,10 min,,10 min,no,yes
117,Pte Cuscatlan,MARN,13.5990,-88.6030,MET,PT,10 min,,10 min,no,yes
118,La Palma,MARN,14.2780,-89.1590,MET,PT,10 min,,10 min,yes,yes
119,Candelaria La Frontera,MARN,14.1190,-89.6560,MET,PT,10 min,,10 min,yes,yes
120,Hacienda Melara,MARN,13.4799,-89.2211,MET,PT,10 min,,10 min,no,yes
121,Jucuaran,MARN,13.1956,-88.2907,MET,PT,10 min,,10 min,no,yes
122,Tepetitan,MARN,13.6256,-88.8428,MET,PT,10 min,,10 min,no,yes
123,Concepción Quezaltepeque,MARN,14.0808,-88.9679,MET,PT,10 min,,10 min,no,yes
124,Berlin Met,MARN,13.5072,-88.5064,MET,PT,10 min,,10 min,no,yes
125,San Francisco,MARN,13.6950,-88.1080,HIDRO,PH,5 min,15 min,,no,yes
126,Talnique,MARN,13.7510,-89.4310,HIDRO,P,5 min,,,yes,no
127,Ciudad Barrios,MARN,13.7250,-88.2730,MET,PT,10 min,,10 min,no,yes
128,El Camalote,MARN,14.1675,-88.9235,PLUVIO,P,5 min,,,no,yes
129,El Jocote,MARN,13.9129,-89.2762,HIDRO,PHQ,5 min,15 min,,yes,yes
130,Las Pavas,MARN,14.0380,-89.3060,HIDRO,PH,5 min,,,yes,no
131,Coatepeque,MARN,13.8676,-89.5121,PLUVIO,P,5 min,15 min,,yes,yes
132,SF Dos Cerros,MARN,14.0340,-89.2756,HIDRO,PHQ,5 min,15 min,,yes,yes
